id,location,area,terrain
89,Turnback Cave,up to Pillar 2,cave
90,Turnback Cave,up to Pillar 2,cave
91,Turnback Cave,up to Pillar 2,cave
92,Turnback Cave,up to Pillar 2,cave
93,Turnback Cave,up to Pillar 2,cave
94,Turnback Cave,up to Pillar 2,cave
95,Turnback Cave,up to Pillar 2,cave
96,Turnback Cave,up to Pillar 2,cave
97,Turnback Cave,up to Pillar 2,cave
98,Turnback Cave,up to Pillar 2,cave
99,Turnback Cave,up to Pillar 2,cave
100,Turnback Cave,up to Pillar 2,cave
101,Turnback Cave,up to Pillar 2,cave
102,Turnback Cave,up to Pillar 2,cave
103,Turnback Cave,up to Pillar 2,cave
104,Turnback Cave,up to Pillar 2,cave
105,Turnback Cave,up to Pillar 2,cave
106,Snowpoint Temple,1F,cave
107,Snowpoint Temple,B1F,cave
108,Snowpoint Temple,B2F,cave
109,Snowpoint Temple,B3F,cave
110,Snowpoint Temple,B4F,cave
111,Snowpoint Temple,B5F,cave
112,Wayward Cave,1F,cave
113,Wayward Cave,B1F,cave
114,Ruins Maniac Tunnel,0-9 different Unown seen,cave
115,Ruins Maniac Tunnel,10-25 different Unown seen,cave
116,Ruins Maniac Tunnel,26+ different Unown seen,cave
117,Trophy Garden,,grass
118,Iron Island,,cave
119,Iron Island,1F,cave
120,Iron Island,B1F left,cave
121,Iron Island,B1F right,cave
122,Iron Island,B2F right,cave
123,Iron Island,B2F left,cave
124,Iron Island,B3F,cave
125,Old Chateau,,floor
126,Old Chateau,,floor
127,Old Chateau,,floor
128,Old Chateau,,floor
129,Old Chateau,,floor
130,Old Chateau,2F room with TV,floor
131,Old Chateau,,floor
132,Old Chateau,2F room with eyes,floor
133,Old Chateau,,floor
134,Lake Verity,before Galactic intervention,grass
135,Lake Verity,after Galactic intervention,grass
136,Lake Valor,,grass
137,Lake Acuity,,grass
138,Valor Lakefront,,grass
139,Acuity Lakefront,,grass
140,Route 201,,grass
141,Route 202,,grass
142,Route 203,,grass
143,Route 204,"south, towards Jubilife City",grass
144,Route 204,"north, towards Floaroma City",grass
145,Route 205,"south, towards Floaroma City",grass
146,Route 205,"east, towards Eterna City",grass
147,Route 206,,grass
148,Route 207,,grass
149,Route 208,,grass
150,Route 209,,grass
151,Lost Tower,1F,floor
152,Lost Tower,2F,floor
153,Lost Tower,3F,floor
154,Lost Tower,4F,floor
155,Lost Tower,5F,floor
156,Route 210,"south, towards Solaceon Town",grass
157,Route 210,"west, towards Celestic Town",grass
158,Route 211,"west, towards Eterna City",grass
159,Route 211,"east, towards Celestic Town",grass
160,Route 212,"north, towards Hearthome City",grass
161,Route 212,"east, towards Pastoria City",grass
162,Route 213,,grass
163,Route 214,,grass
164,Route 215,,grass
165,Route 216,,grass
166,Route 217,,grass
167,Route 218,,grass
168,Route 219,,grass
169,Route 221,,grass
170,Route 222,,grass
171,Route 224,,grass
172,Route 225,,grass
173,Route 227,,grass
174,Route 228,,grass
175,Route 229,,grass
176,Twinleaf Town,,
177,Celestic City,,
178,Resort Area,,
179,Route 220,,
180,Route 223,,
181,Route 226,,
182,Route 230,,
